Word,Count
*,259
,65
@param,58
de,55
le,45
la,34
a,27
joueur,25
du,25
un,23
des,22
@return,21
pour,21
les,21
joueurs,14
message,13
en,12
=============================,12
e,11
dans,10
une,10
et,8
Champs,7
Public,7
lors,7
Retourne,7
player,7
avec,7
deux,7
partie,6
liste,6
Supprime,6
commande,6
monde,6
RÈcupËre,6
Nom,6
entre,6
Cr√©er,6
jour,5
chat,5
Private,5
par,5
pas,5
Constructeur,5
twitch,5
max,5
Tableau,4
apr√®s,4
plugin,4
Materiel,4
caractËre,4
team,4
fois,4
l'Èpisode,4
d'un,4
positions,4
nothing,4
chaque,4
chaine,4
restant,4
toutes,4
l'item,4
teams,4
mettre,4
si,4
nom,4
Joueur,4
coordon√©e,4
min,4
fait,4
..........,4
compte,3
admins,3
disponibles,3
√©quipes,3
Ajoute,3
alt√©rnance,3
M√©thode,3
couleurs,3
G√©n√®re,3
serveur,3
Envoie,3
Ajout,3
avant,3
global,3
l'Èquipe,3
meme,3
pvp,3
Do,3
join,3
@author,3
‡,3
Affiche,3
Swap,3
cliquable,3
Met,3
centre,3
scoreboard,3
arguments,3
caract√®re,3
appel√©e,3
l'√©quipe,3
stream,3
eux,3
Constantes,3
swap,3
Tanguy,2
office,2
au,2
√†,2
Setup,2
EvËnement,2
inventaires,2
R√©cup√®re,2
---------------------------------------,2
:,2
piocher,2
rebour,2
color,2
Èquipes,2
secondes,2
l'instance,2
Cavagna,2
TODO,2
T√©l√©porte,2
Store,2
uniquement,2
Diviser,2
il,2
envoyer,2
nouveau,2
d'une,2
donn√©e,2
Ev√®nement,2
equipe,2
Èquipe,2
car,2
mur,2
@version,2
sidebar,2
player_name,2
Commande,2
commandes,2
zPoses,2
{,2
Couleur,2
dur√©e,2
CrÈer,2
ce,2
lien,2
========================================,2
prefix,2
},2
d√©but,2
config,2
Texte,2
ne,2
streamer,2
1,2
z,2
Obligatoire,2
x,2
Prefix,2
tout,2
tems,2
√©quipe,2
xPoses,2
Fait,2
lorsqu'un,2
laquelle,2
menu,2
informations,2
qui,2
on,2
validation,1
Active,1
utilisÈ,1
murs,1
Auto-generated,1
\toi."\);\,1
teamToJoin,1
Classe,1
type,1
crÈer,1
supprimer,1
Retire,1
cliqueÈ,1
\joueur,\,1
cmd,1
path,1
pendant,1
S'√©x√©cute,1
itemMaterial,1
donc,1
leur,1
rejoindre,1
JOUEUR,1
Variables,1
QUE,1
notre,1
format,1
Ne,1
commandLabel,1
spec,1
p1,1
entier,1
pr√©sentes,1
Pseudo,1
ainsi,1
Index,1
Chaine,1
parti,1
n'est,1
venant,1
fonction,1
joeurs,1
maxPlayerCount,1
game,1
G√®re,1
temps,1
n'y,1
material2,1
2,1
y,1
cr√©er,1
Gentleman,1
timer,1
plateforme,1
places,1
pr√©sendentes,1
r√©cup√©rer,1
sender,1
seconde,1
DONNER,1
Recr√©er,1
Distance,1
qu'administrer,1
Doc,1
l'aide,1
mm:ss,1
Modifie,1
premier,1
grade,1
executer,1
Ecrit,1
Pour,1
DE,1
Arguments,1
itemName,1
Entier,1
resistance,1
grille,1
bordure,1
g√©rer,1
convertir,1
l'uhc,1
lancement,1
Passe,1
suivant,1
\p.sendMessage("\Tu\,1
border,1
alternance,1
prÈfix,1
Restore,1
Lie,1
Set,1
foo,1
rÈponse,1
ÈtÈ,1
g√©n√®re,1
position,1
events,1
l'activation,1
vide,1
\EQUIPE,\,1
retirant,1
titre,1
reste,1
plus,1
t,1
l'UHC,1
Evenement,1
material,1
Change,1
remttre,1
Setter,1
TanguyCavagna,1
->,1
Getter,1
COMMUNIQUE,1
LE,1
prÈsents,1
activer,1
l'encapsulation,1
dÈfaut,1
l'episode,1
rien,1
combien,1
aucun,1
permettant,1
pEpisodeNbr,1
equipes,1
Re,1
d√©sactivation,1
PRECISE,1
Le,1
ou,1
ayant,1
material1,1
argument,1
args,1
lignes,1
Ècrit,1
D√©sactive,1
d√©gats,1
???,1
commencer,1
suivants,1
Exception,1
mis,1
Propti√©t√©s,1
rapetisser,1
quitte,1
correspondante,1
map,1
nombre,1
zero,1
else,1
Propi√©t√©es,1
envoy√©e,1
0},1
Pr√©,1
name,1
trouvÈe,1
DANS,1
Mon,1
QU'IL,1
FAUT,1
playerNames,1
bloque,1
requete,1
pTimeLeft,1
d'enchant,1
Debug,1
tous,1
method,1
Attribut,1
Parcoure,1
charPos,1
ETANT,1
Mise,1
cliquÈ,1
l'inventaire,1
rule,1
sous-titre,1
fin,1
Nombre,1
Commence,1
Temps,1
d'autre,1
Est,1
bouger,1
Hauteur,1
targetPlayer,1
IL,1
\uhc,\,1
inventories,1
ceux,1
clique,1
teamMessagePrefix,1
sÈlÈction,1
user_login,1
trouve,1
gagner,1
if,1
l'√©cran,1
se,1
envoie,1
cible,1
via,1
\principale,\,1
Team,1
setup,1
minutes:secondes,1
couleur,1
appelÈ,1
construit,1
1.0,1
n'a,1
dessous,1
chunks,1
drops,1
es,1
item,1
donnÈe,1
text,1
EST,1
Lore,1
FACON,1
Equipe,1
Entit√©,1
Desactive,1
correspondant,1
numÈro,1
\{0,\,1
globalMessagePrefix,1
@throws,1
spawn,1
effet,1
Message,1
li√©,1
NumÈro,1
payer_name,1
d'items,1
sÈlection,1
UNE,1
Plugin,1
p2,1
command,1
long,1
pseudo,1
distanceFromCenter,1
scoreboards,1
Supprimer,1
stub,1
objectifs,1
Scoreboard,1
l'envoie,1
appel√©,1
r√©activer,1
sufix,1
(!p.isOp()),1
Transforme,1
special,1
twich_name,1
La,1
permission,1
Singleton,1
admin,1
Si,1
Compte,1
qu'un,1
height,1
l'espisode,1
base,1
0.1,1
streams,1
savoir,1
fichier,1
Ouvre,1
mort,1
D√©commenter,1
depuis,1
