Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,14,1995,1197,935,163,374,1,424,1554,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit,14,1995,1197,935,163,374,1,424,1554,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src,14,1995,1197,935,163,374,1,424,1554,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com,14,1995,1197,935,163,374,1,424,1554,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy,14,1995,1197,935,163,374,1,424,1554,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit,14,1995,1197,935,163,374,1,424,1554,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit\commands,6,1035,684,523,105,195,0,156,638,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit\commands\tab_completion,3,93,56,44,7,28,0,9,33,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit\events,2,171,96,72,13,29,0,46,210,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit\gui,1,97,49,42,6,23,0,25,101,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit\scoreboards,2,237,120,99,13,50,0,67,173,0,0
C:\Users\cavagnat\Documents\Programmation\Java\GiWit\src\com\toguy\giwit\scoreboards\uhc,2,237,120,99,13,50,0,67,173,0,0
